fre_id,eng_id,fre_docname,eng_docname
001-161236,003-5306001-6605733,BÎRSAN c. ROUMANIE,Forthcoming judgments and decisions 23-25.02.16
001-212465,001-217505,ZAMBRANO c. FRANCE,ZAMBRANO v. FRANCE
001-80462,001-230860,AFFAIRE ULUSOY ET AUTRES c. TURQUIE,CASE OF ULUSOY AND OTHERS AGAINST TURKEY
001-45005,NaN,SEUROT contre la FRANCE,NaN
001-114796,NaN,MOLNAR c. ROUMANIE,NaN
001-220958,001-220968,AFFAIRE YÜKSEKDAĞ ŞENOĞLU ET AUTRES c. TÜRKİYE,CASE OF YÜKSEKDAĞ ŞENOĞLU AND OTHERS v. TÜRKİYE
001-30030,001-60463,KARATAS ET SARI contre la FRANCE,CASE OF KARATAS AND SARI v. FRANCE
001-175941,NaN,BELKACEM c. BELGIQUE,NaN
001-93626,001-93627,AFFAIRE FERET c. BELGIQUE,CASE OF FERET v. BELGIUM
001-221837,001-222103,AFFAIRE ZEMMOUR c. FRANCE,CASE OF ZEMMOUR v. FRANCE
001-88657,001-88715,AFFAIRE LEROY c. FRANCE,CASE OF LEROY v. FRANCE
001-72758,NaN,KATAMADZE c. GEORGIE,NaN
001-99601,001-186888,AFFAIRE BİNGÖL c. TURQUIE,CASE OF INCAL AGAINST TURKEY AND 1 OTHER CASE
001-73711,001-57433,DE BECKER contre la BELGIQUE,CASE OF DE BECKER v. BELGIUM
001-211600,001-211796,AFFAIRE Z.B. c. FRANCE,CASE OF Z.B. v. FRANCE
001-181719,001-181724,AFFAIRE STERN TAULATS ET ROURA CAPELLERA c. ESPAGNE,CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN
001-105440,NaN,GOLLNISCH c. FRANCE,NaN
001-148926,NaN,NASTASE c. ROUMANIE,NaN
001-210283,001-210474,AFFAIRE STAYKOV c. BULGARIE,CASE OF STAYKOV v. BULGARIA
001-98220,NaN,DÖŞEMEALTI BELEDIYESI c. TURQUIE,NaN
001-205862,NaN,RÉPUBLIQUE DÉMOCRATIQUE DU CONGO c. BELGIQUE,NaN
001-201687,NaN,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ c. TURQUIE,NaN
001-102000,NaN,DEMIRBAŞ ET AUTRES c. TURQUIE,NaN
001-201742,001-202114,AFFAIRE FABRIS ET PARZIALE c. ITALIE,CASE OF FABRIS AND PARZIALE v. ITALY
001-206273,001-218354,AFFAIRE PAPACHELA ET AMAZON S.A. c. GRÈCE,CASE OF PAPACHELA AND AMAZON S.A. AGAINST GREECE
001-206726,001-221500,AFFAIRE AsDAC c. RÉPUBLIQUE DE MOLDOVA,CASE OF AsDAC AGAINST THE REPUBLIC OF MOLDOVA
001-216195,001-229376,AFFAIRE COMMUNAUTÉ GENEVOISE D'ACTION SYNDICALE (CGAS) c. SUISSE,CASE OF COMMUNAUTÉ GENEVOISE D'ACTION SYNDICALE (CGAS) v. SWITZERLAND
001-203849,001-222277,AFFAIRE DIMO DIMOV ET AUTRES c. BULGARIE,CASE OF DIMO DIMOV AND OTHERS AGAINST BULGARIA
001-226013,NaN,CHENNOUF ET AUTRES c. FRANCE,NaN
001-202610,NaN,DÎRJAN ET ŞTEFAN c. ROUMANIE,NaN
001-200446,001-200892,AFFAIRE J.M.B. ET AUTRES c. FRANCE,CASE OF J.M.B. AND OTHERS v. FRANCE
001-198507,NaN,PORCHET c. SUISSE,NaN
001-68518,NaN,KOC ET TAMBAS c. TURQUIE,NaN
001-97660,NaN,BOUGLAME c. BELGIQUE,NaN
001-223400,NaN,SORBALO c. RÉPUBLIQUE DE MOLDOVA,NaN
001-95631,NaN,D.J. ET A.-K.R. c. ROUMANIE,NaN
001-197095,001-197098,AFFAIRE LÓPEZ RIBALDA ET AUTRES  c. ESPAGNE,CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN
001-187187,001-187455,AFFAIRE DELECOLLE c. FRANCE,CASE OF DELECOLLE v. FRANCE
001-212133,001-212612,AFFAIRE C.N. c. LUXEMBOURG,CASE OF C.N. v. LUXEMBOURG
001-165417,NaN,COMITÉ HELSINKI BULGARE c. BULGARIE,NaN
001-100880,NaN,FARCAŞ c. ROUMANIE,NaN
001-106519,001-114996,HAMIDOVIC c. ITALIE,CASE OF HAMIDOVIC v. ITALY
001-180488,001-180706,AFFAIRE M.A. c. FRANCE,CASE OF M.A. v. FRANCE
001-92489,NaN,PERALDI c. FRANCE,NaN
001-77413,NaN,AGBOVI c. ALLEMAGNE,NaN
001-180884,001-181117,AFFAIRE PORTU JUANENEA ET SARASOLA YARZABAL c. ESPAGNE,CASE OF PORTU JUANENEA AND SARASOLA YARZABAL v. SPAIN
001-100804,003-3582001-4053691,ASSOCIATION LES TÉMOINS DE JÉHOVAH c. FRANCE,Forthcoming judgments 28-30.06.11
001-44574,001-72521,ÇINAR contre la TURQUIE,CASE OF TÜM HABER SEN AND ÇINAR v. TURKEY
001-216676,NaN,ASPIOTIS c. GRÈCE,NaN
001-119849,NaN,UZUN c. TURQUIE,NaN
001-202123,001-202318,AFFAIRE DOS SANTOS CALADO ET AUTRES c. PORTUGAL,CASE OF DOS SANTOS CALADO AND OTHERS v. PORTUGAL
001-106535,NaN,LIENHARDT c. FRANCE,NaN
001-110869,NaN,RHAZALI ET AUTRES c. FRANCE,NaN
001-198717,001-199148,AFFAIRE PETRESCU c. PORTUGAL,CASE OF PETRESCU v. PORTUGAL
001-192926,001-192958,AFFAIRE A.M. c. FRANCE,CASE OF A.M. v. FRANCE
001-209031,001-221206,AFFAIRE TSONYO TSONEV c. BULGARIE (N° 4),CASE OF TSONYO TSONEV AGAINST BULGARIA  (No. 4)
001-201858,001-202205,AFFAIRE ELİF KIZIL c. TURQUIE,CASE OF ELİF KIZIL v. TURKEY
001-174799,001-222293,AFFAIRE KOSMAS ET AUTRES c. GRÈCE,CASE OF VONTAS AND OTHERS AGAINST GREECE AND 2 OTHER CASES
001-220865,001-221168,AFFAIRE LA FONDATION DE L'ÉGLISE GRECQUE ORTHODOXE TAKSIARHIS DE ARNAVUTKÖY c. TÜRKİYE,CASE OF ARNAVUTKÖY GREEK ORTHODOX TAKSIARHIS CHURCH FOUNDATION v. TÜRKİYE
001-169482,001-169884,AFFAIRE KUTLU ET AUTRES c. TURQUIE,CASE OF KUTLU AND OTHERS v. TURKEY
001-168962,001-182483,AFFAIRE KERİMAN TEKİN ET AUTRES c. TURQUIE,CASE OF KERIMAN TEKIN AND OTHERS AGAINST TURKEY
001-141258,001-141279,AFFAIRE CENI c. ITALIE,CASE OF CENI v. ITALY
001-215360,001-228870,AFFAIRE N.M. ET AUTRES c. FRANCE,CASE OF N.M. AND OTHERS v. FRANCE
001-191475,001-199493,AFFAIRE UZAN ET AUTRES c. TURQUIE,CASE OF UZAN AND OTHERS v. TURKEY
001-171605,NaN,KARACHALIOS c. GRÈCE,NaN
001-93494,001-109696,AFFAIRE ZEIBEK c. GRECE,CASE OF ZEIBEK AGAINST GREECE
001-216223,001-215922,AFFAIRE SEBELEVA ET AUTRES c. RUSSIE,CASE OF SEBELEVA AND OTHERS v. RUSSIA
001-164969,001-165503,AFFAIRE MAMATAS ET AUTRES c. GRÈCE,CASE OF MAMATAS AND OTHERS v. GREECE
001-223345,NaN,FREIRE LOPES c. PORTUGAL,NaN
001-86248,001-86269,AFFAIRE SC EDITURA ORIZONTURI SRL c. ROUMANIE,CASE OF SC EDITURA ORIZONTURI SRL v. ROMANIA
001-104630,001-104631,AFFAIRE DI MARCO c. ITALIE,CASE OF DI MARCO v. ITALY
001-153479,001-153911,AFFAIRE TCHOKONTIO HAPPI c. FRANCE,CASE OF TCHOKONTIO HAPPI v. FRANCE
001-165753,001-166561,AFFAIRE VALLE PIERIMPIÈ SOCIETÀ AGRICOLA S.P.A. c. ITALIE,CASE OF VALLE PIERIMPIÈ SOCIETÀ AGRICOLA S.P.A. v. ITALY
001-181831,001-205792,AFFAIRE TKACHENKO c. RUSSIE,CASE OF TKACHENKO v. RUSSIA
001-203092,001-202783,AFFAIRE ARSIMIKOV ET ARSEMIKOV c. RUSSIE,CASE OF ARSIMIKOV AND ARSEMIKOV v. RUSSIA
001-202432,001-202504,AFFAIRE NECHAYEVA c. RUSSIE,CASE OF NECHAYEVA v. RUSSIA
001-65341,001-60790,AFFAIRE BUCHEŇ c. REPUBLIQUE TCHEQUE,CASE OF BUCHEŇ v. THE CZECH REPUBLIC
001-30636,NaN,"BELLET, HUERTAS ET VIALATTE contre la FRANCE",NaN
001-95331,001-184326,AFFAIRE APOSTOLAKIS c. GRECE,CASE OF APOSTOLAKIS AGAINST GREECE
001-79498,001-79499,AFFAIRE BOCK ET PALADE c. ROUMANIE,CASE OF BOCK AND PALADE v. ROMANIA
001-74253,001-74445,BRAMELID et MALMSTRÖM c. SUEDE,BRAMELID and MALMSTRÖM v. SWEDEN
001-145362,001-145701,AFFAIRE MILHAU c. FRANCE,CASE OF MILHAU v. FRANCE
001-186763,001-202092,AFFAIRE ZHIDOV ET AUTRES c. RUSSIE,CASE OF ZHIDOV AND OTHERS v. RUSSIA
001-211786,001-223012,AFFAIRE YAVUZ ÖZDEN c. TURQUIE,CASE OF ÇAVUŞ AND OTHERS AGAINST TÜRKİYE AND 7 OTHER CASES
001-105094,001-222434,AFFAIRE AYGÜN c. TURQUIE,CASE OF AYGÜN AGAINST TURKEY
001-72798,NaN,ANSAY ET AUTRES c. TURQUIE,NaN
001-42990,NaN,RIELA ET AUTRES contre l'ITALIE,NaN
001-198387,001-198623,AFFAIRE S.A. BIO D'ARDENNES c. BELGIQUE,CASE OF S.A. BIO D'ARDENNES v. BELGIUM
001-161050,003-5306001-6605733,AFFAIRE ÇAM c. TURQUIE,Forthcoming judgments and decisions 23-25.02.16
001-180642,001-180499,AFFAIRE ENVER ŞAHİN c. TURQUIE,CASE OF ENVER ŞAHİN v. TURKEY
001-169450,NaN,SANLISOY c. TURQUIE,NaN
001-73906,001-73756,X c. ROYAUME-UNI,X. v. THE UNITED KINGDOM
001-180280,001-206995,AFFAIRE KOUREAS ET AUTRES c. GRÈCE,CASE OF TAGGATIDIS AND OTHERS AGAINST GREECE AND 32 OTHER CASES
001-157529,001-172418,AFFAIRE MEMLIKA c. GRÈCE,CASE OF MEMLIKA AGAINST GREECE
001-82181,001-865,GRAEME c. ROYAUME-UNI,GRAEME v. THE UNITED KINGDOM
001-91079,NaN,KALKANLI c. TURQUIE,NaN
001-189671,NaN,DUPIN c. FRANCE,NaN
001-214434,001-220572,AFFAIRE ABDI IBRAHIM c. NORVÈGE,CASE OF PEDERSEN AND OTHERS AGAINST NORWAY AND 5 OTHER CASES
001-62106,001-73499,AFFAIRE OLSSON c. SUÈDE (N° 1),OLSSON v. SWEDEN (NO. 1)
001-74202,001-74417,X. c. ROYAUME-UNI,X. v. the UNITED-KINGDOM
001-31353,NaN,MALARDE contre la FRANCE,NaN
001-209218,NaN,REPETTO VISENTINI c. ITALIE,NaN
001-210732,001-210811,AFFAIRE MINISCALCO c. ITALIE,CASE OF MINISCALCO v. ITALY
001-87699,NaN,BRITO DA SILVA GUERRA et SOUSA MAGNO c. PORTUGAL,NaN
001-138795,NaN,OCCHETTO c. ITALIE,NaN
001-83936,NaN,"PARTIJA ""JAUNIE DEMOKRATI"" ET PARTIJA ""MUSU ZEME"" c. LETTONIE",NaN
001-98429,001-109707,AFFAIRE TĂNASE c. MOLDOVA,CASE OF TĂNASE AGAINST THE REPUBLIC OF MOLDOVA
001-44594,NaN,BENKADDOUR contre la FRANCE,NaN
001-72894,001-72893,AFFAIRE SOUKHOVETSKI c. UKRAINE,CASE OF SUKHOVETSKYY v. UKRAINE
001-141983,NaN,MIHAELA MIHAI NEAGU c. ROUMANIE,NaN
001-181207,001-181372,AFFAIRE CERNEA c. ROUMANIE,CASE OF CERNEA v. ROMANIA
001-153920,001-164015,AFFAIRE DANIS ET ASSOCIATION DES PERSONNES D'ORIGINE TURQUE c. ROUMANIE,CASE OF DANIS AND ASSOCIATION OF ETHNIC TURKS AGAINST ROMANIA
001-72795,001-61827,AFFAIRE ZDANOKA c. LETTONIE,CASE OF ZDANOKA v. LATVIA
001-31257,NaN,BRIKE c. LETTONIE,NaN
001-163458,NaN,DUPRÉ c. FRANCE,NaN
001-193075,001-193451,AFFAIRE G.K. c. BELGIQUE,CASE OF G.K. v. BELGIUM
001-30256,NaN,BABENKO contre l'UKRAINE,NaN
001-174203,001-173805,AFFAIRE DAVYDOV ET AUTRES c. RUSSIE [Extraits],CASE OF DAVYDOV AND OTHERS v. RUSSIA
001-93372,001-116493,AFFAIRE IGNATOV c. BULGARIE,CASE OF IGNATOV AND 2 OTHER CASES AGAINST BULGARIA
001-222410,001-222812,AFFAIRE PAGERIE c. FRANCE,CASE OF PAGERIE v. FRANCE
001-225227,001-225557,AFFAIRE FANOUNI c. FRANCE,CASE OF FANOUNI v. FRANCE
001-79230,001-116570,AFFAIRE SISSANIS c. ROUMANIE,CASES OF SISSANIS AND  ROSENGREN AGAINST ROMANIA
001-30265,NaN,O.I.J. contre la REPUBLIQUE TCHEQUE,NaN
001-30266,NaN,F.S.M. contre la REPUBLIQUE TCHEQUE,NaN
001-31594,NaN,ROLDAN TEXEIRA ET AUTRES c. ITALIE,NaN
001-27937,NaN,X. contre LA  REPUBLIQUE FEDERALE D'ALLEMAGNE,NaN
001-27940,NaN,X. contre la REPUBLIQUE FEDERALE D'ALLEMAGNE,NaN
001-90696,NaN,BIGLIAZZI ET AUTRES c. ITALIE,NaN
001-91829,001-148565,AFFAIRE BEN SALAH c. ITALIE,CASE OF SAADI AND 9 OTHER CASES AGAINST ITALY
001-31672,001-79022,SISSOYEVA ET AUTRES contre la LETTONIE,CASE OF SISOJEVA AND OTHERS v. LATVIA
001-108834,001-108857,AFFAIRE M.S. c. BELGIQUE,CASE OF M.S. v. BELGIUM
001-82509,NaN,YILDIRIM c. ROUMANIE,NaN
001-24876,NaN,N. contre la FRANCE,NaN
001-24535,NaN,POLLEY contre la BELGIQUE,NaN
001-44201,NaN,DREMLYUGA contre la LETTONIE,NaN
001-140964,NaN,ȘANDRU c. ROUMANIE,NaN
001-27091,001-51114,ROUX contre la FRANCE,ROUX AGAINST FRANCE
001-87397,001-109752,AFFAIRE PAŞAOĞLU c. TURQUIE,CASE OF PASAOGLU AGAINST TURKEY
001-180657,001-215386,AFFAIRE BEN FAIZA c. FRANCE,CASE OF BEN FAIZA AGAINST FRANCE
001-91046,001-91113,AFFAIRE WOMEN ON WAVES ET AUTRES c. PORTUGAL,CASE OF WOMEN ON WAVES AND OTHERS v. PORTUGAL
001-100993,001-220500,AFFAIRE POKHALCHUK c. UKRAINE,CASE OF DZHAKSYBERGENOV AGAINST UKRAINE AND 2 OTHER CASES
001-68611,001-68613,AFFAIRE GOFFI c. ITALIE,CASE OF GOFFI v. ITALY
001-66092,001-61534,AFFAIRE BASSANI c. ITALIE,CASE OF BASSANI v. ITALY
001-76954,001-76955,AFFAIRE GASSER c. ITALIE,CASE OF GASSER v. ITALY
001-76147,NaN,DI CARLO ET BONAFFINI c. ITALIE,NaN
001-66919,001-91211,BOVA c. ITALIE,CASE OF BOVA AND TWELVE OTHERS CASES AGAINST ITALY
001-91689,001-91690,AFFAIRE SHAW c. ITALIE,CASE OF SHAW v. ITALY
001-65799,001-61241,AFFAIRE BOTTARO c. ITALIE,CASE OF BOTTARO v. ITALY
001-98341,001-98347,AFFAIRE VILLA c. ITALIE,CASE OF VILLA v. ITALY
001-128146,NaN,S.M. c. ITALIE,NaN
001-210438,NaN,GUZZARDI c. ITALIE,NaN
001-98313,NaN,CIPRIANI c. ITALIE,NaN
001-24878,NaN,KENANE contre FRANCE,NaN
001-26923,NaN,KALIBI contre la FRANCE,NaN
001-30843,NaN,VIEL contre la FRANCE,NaN
001-67035,001-141112,MASZNI c. ROUMANIE,CASE OF MASZNI AGAINST ROMANIA
001-44206,001-85469,REYNTJENS contre la BELGIQUE,REYNTJENS v. BELGIUM
001-69768,001-72057,ARISTIMUNO MENDIZABAL c. FRANCE,CASE OF ARISTIMUNO MENDIZABAL v. FRANCE
001-43530,001-97831,KUZMIN contre la RUSSIE,CASE OF KUZMIN v. RUSSIA
001-67814,NaN,BOTTI c. ITALIE,NaN
001-107745,001-164152,TODIRICA ET AUTRES c. ROUMANIE,CASE OF NICOLAU AND 79 OTHER CASES AGAINST ROMANIA
001-44209,001-68643,SZYSZKOWSKI contre SAINT-MARIN,CASE OF SZYSZKOWSKI v. SAN MARINO
001-44780,001-22354,ZILLI et BONARDO contre l'ITALIE,ZILLI and BONARDO v. ITALY
001-28676,NaN,GAFENCU contre la ROUMANIE,NaN
001-73052,001-85912,AFFAIRE DEMIR c. FRANCE,CASE OF RAFFI AGAINST FRANCE AND THIRTY OTHER CASES
001-26685,NaN,"ASSOCIATION ""REGELE MIHAI"" contre la ROUMANIE",NaN
001-44514,NaN,FEDOROVA et AUTRES contre la LETTONIE,NaN
001-24305,NaN,S. c. LA REPUBLIQUE FEDERALE D'ALLEMAGNE,NaN
001-27925,NaN,X. contre la REPUBLIQUE FEDERALE D'ALLEMAGNE,NaN
001-44112,001-83354,A.B. contre la POLOGNE,CASE OF A.B. v. POLAND
001-32564,001-61052,DE SAVOIE contre l'ITALIE,CASE OF VICTOR-EMMANUEL de SAVOIE v. ITALY
001-65609,001-61052,AFFAIRE VICTOR-EMMANUEL de SAVOIE c. ITALIE,CASE OF VICTOR-EMMANUEL de SAVOIE v. ITALY
001-82543,NaN,SADET c. ROUMANIE,NaN
001-169517,NaN,O. ET AUTRES c. LUXEMBOURG,NaN
001-147287,001-205904,AFFAIRE SHARIFI ET AUTRES c. ITALIE ET GRÈCE,CASE OF SHARIFI AND OTHERS AGAINST ITALY AND GREECE AND 3 OTHER CASES
001-103688,NaN,DRITSAS ET AUTRES c. ITALIE,NaN
001-92444,NaN,GHULAMI c. FRANCE,NaN
001-91303,001-91302,AFFAIRE NOLAN AND K. c. RUSSIE,CASE OF NOLAN AND K. v. RUSSIA
001-75687,001-75688,AFFAIRE LUPSA c. ROUMANIE,CASE OF LUPSA v. ROMANIA
001-77454,001-77456,AFFAIRE KAYA c. ROUMANIE,CASE OF KAYA v. ROMANIA
001-103403,001-116566,AFFAIRE GELERI c. ROUMANIE,CASE OF GELERI AGAINST ROMANIA
001-205510,001-222393,AFFAIRE MUHAMMAD ET MUHAMMAD c. ROUMANIE,CASE OF MUHAMMAD AND MUHAMMAD AGAINST ROMANIA AND 2 OTHER CASES
001-198813,001-228502,AFFAIRE ILIAS ET AHMED c. HONGRIE,CASE OF ILIAS AND AHMED AGAINST HUNGARY AND 3 OTHER APPLICATIONS
001-63399,001-24070,AFFAIRE MAAOUIA c. FRANCE,MAAOUIA v. FRANCE
001-105641,001-187032,AFFAIRE BALTAJI c. BULGARIE,CASE OF BALTAJI AGAINST BULGARIA
001-108603,001-127489,AFFAIRE TAKUSH c. GRÈCE,CASE OF TAKUSH AGAINST GREECE
001-145552,001-218412,AFFAIRE GÉORGIE c. RUSSIE (I),CASE OF GEORGIA AGAINST RUSSIA (I)
001-43491,001-60729,SEJDOVIC et SULEJMANOVIC contre l'ITALIE,CASE OF SULEJMANOVIC AND OTHERS v. ITALY
001-152389,001-151002,AFFAIRE S.C. c. ROUMANIE,CASE OF S.C. v. ROMANIA
001-67539,001-106964,AFFAIRE PROKOPOVITCH c. RUSSIE [Extraits],CASE OF PROKOPOVICH AGAINST THE RUSSIAN FEDERATION
001-82337,001-82338,AFFAIRE SULTANI c. FRANCE,CASE OF SULTANI v. FRANCE [Extracts]
001-77281,001-24033,AFFAIRE BOLAT c. RUSSIE,BOLAT v. RUSSIA
001-161794,001-184856,AFFAIRE SHARMA c. LETTONIE,CASE OF SHARMA AGAINST LATVIA
001-43492,001-60729,SULEJMANOVIC et SULTANOVIC contre l'ITALIE,CASE OF SULEJMANOVIC AND OTHERS v. ITALY
001-25191,NaN,S.T. contre la FRANCE,NaN
001-86392,001-1480,VOULFOVITCH/OULIANOVA c. SUEDE,VOULFOVITCH AND OULIANOVA v. SWEDEN
001-152390,001-151001,AFFAIRE N.M. c. ROUMANIE,CASE OF N.M. v. ROMANIA
001-204075,NaN,KARIMI c. ROUMANIE,NaN
001-104291,001-104289,AFFAIRE NOWAK c. UKRAINE,CASE OF NOWAK v. UKRAINE
001-99882,001-99900,AFFAIRE AHMED c. ROUMANIE,CASE OF AHMED v. ROMANIA
001-44009,NaN,DAVIES et AUTRES contre la ROUMANIE,NaN
001-183286,001-196054,AFFAIRE LJATIFI c. « L'EX-RÉPUBLIQUE YOUGOSLAVE DE MACÉDOINE »,CASE OF LJATIFI AGAINST NORTH MACEDONIA
001-181829,001-164195,AFFAIRE RADOMILJA ET AUTRES c. CROATIE,CASE OF RADOMILJA AND OTHERS v. CROATIA
001-138444,001-147139,AFFAIRE SÖDERMAN c. SUÈDE,CASE OF SÖDERMAN AGAINST SWEDEN
001-86095,001-79871,AFFAIRE C.G. ET AUTRES c. BULGARIE,C.G. AND OTHERS v. BULGARIA
001-62091,001-74021,AFFAIRE MALONE c. ROYAUME-UNI,MALONE v. the UNITED KINGDOM
001-194601,001-221423,AFFAIRE MIHALACHE c. ROUMANIE,CASE OF MIHALACHE AGAINST ROMANIA AND 2 OTHER CASES
001-100355,001-179833,AFFAIRE KAUSHAL ET AUTRES c. BULGARIE,CASE OF AMIE AND OTHERS AGAINST BULGARIA AND 2 OTHER CASES
001-221834,NaN,S.L. c. ROUMANIE,NaN
001-166824,001-111742,AFFAIRE IBRAHIM ET AUTRES c. ROYAUME-UNI,IBRAHIM v. THE UNITED KINGDOM and 2 other applications
001-187513,001-201402,AFFAIRE BEUZE c. BELGIQUE,CASE OF BEUZE AGAINST BELGIUM
001-159590,001-172416,AFFAIRE SCHATSCHASCHWILI c. ALLEMAGNE,CASE OF SCHATSCHASCHWILI AGAINST GERMANY
001-208411,001-222393,AFFAIRE HASSINE c. ROUMANIE,CASE OF MUHAMMAD AND MUHAMMAD AGAINST ROMANIA AND 2 OTHER CASES
001-43867,001-61221,MOKRANI contre la FRANCE,CASE OF MOKRANI v. FRANCE
001-79391,001-71083,NAGULA c. ESTONIE [Extraits],NAGULA v. ESTONIA
001-27788,NaN,UNLU contre la SUISSE,NaN
001-178906,001-179163,AFFAIRE GASPAR c. PORTUGAL,CASE OF GASPAR v. PORTUGAL
001-92389,001-92390,AFFAIRE KAMBUROV c. BULGARIE,CASE OF KAMBUROV v. BULGARIA
001-94571,001-94658,AFFAIRE STANCHEV c. BULGARIE,CASE OF STANCHEV v. BULGARIA
001-78207,001-78208,AFFAIRE GRECU c. ROUMANIE,CASE OF GRECU v. ROMANIA
001-178375,001-203791,AFFAIRE FIRAT c. GRÈCE,CASE OF DIMITRIOU AND OTHERS AGAINST GREECE AND 9 OTHER CASES
001-182045,NaN,KROMBACH c. FRANCE,NaN
001-104948,001-104953,AFFAIRE KURDOV ET IVANOV c. BULGARIE,CASE OF KURDOV AND IVANOV v. BULGARIA
001-76940,001-141112,AFFAIRE MASZNI c. ROUMANIE,CASE OF MASZNI AGAINST ROMANIA
001-228851,001-229120,AFFAIRE C.Y. c. BELGIQUE,CASE OF C.Y. v. BELGIUM
001-203844,001-222273,AFFAIRE VELKOV c. BULGARIE,CASE OF VELKOV AGAINST BULGARIA
001-179567,001-179793,AFFAIRE RAMDA c. FRANCE,CASE OF RAMDA v. FRANCE
001-166931,001-167453,AFFAIRE RIVARD c. SUISSE,CASE OF RIVARD v. SWITZERLAND
001-193457,001-215387,AFFAIRE NODET c. FRANCE,CASE OF NODET AGAINST FRANCE
001-62077,001-57519,AFFAIRE LEANDER c. SUÈDE,CASE OF LEANDER v. SWEDEN
001-62593,001-45790,AFFAIRE Z c. FINLANDE,Z v. FINLAND
001-95302,001-95397,AFFAIRE HARALAMBIE c. ROUMANIE,CASE OF HARALAMBIE v. ROMANIA
001-62630,001-58069,AFFAIRE GUILLOT c. FRANCE,CASE OF GUILLOT v. FRANCE
001-68202,001-70407,MENTZEN c. LETTONIE,MENTZEN v. LATVIA
001-138601,001-139362,AFFAIRE HENRY KISMOUN c. FRANCE,CASE OF HENRY KISMOUN v. FRANCE
001-87208,001-87207,AFFAIRE LIBERTY ET AUTRES c. ROYAUME-UNI,CASE OF LIBERTY AND OTHERS v. THE UNITED KINGDOM
001-64224,001-59665,AFFAIRE P.G. ET J.H. c. ROYAUME-UNI,CASE OF P.G. AND J.H. v. THE UNITED KINGDOM
001-90052,001-90051,AFFAIRE S. ET MARPER c. ROYAUME-UNI,CASE OF S. AND MARPER v. THE UNITED KINGDOM
001-107032,001-107033,AFFAIRE KHELILI c. SUISSE,CASE OF KHELILI v. SWITZERLAND
001-62049,001-72424,AFFAIRE GASKIN c. ROYAUME-UNI,GASKIN v. THE UNITED KINGDOM
001-64592,001-60035,AFFAIRE MIKULIĆ c. CROATIE,CASE OF MIKULIĆ v. CROATIA
001-223702,001-224048,AFFAIRE SÂRBU c. ROUMANIE,CASE OF SÂRBU v. ROMANIA
001-104865,001-104864,AFFAIRE ASSOCIATION « 21 DECEMBRE 1989 » ET AUTRES c. ROUMANIE,"CASE OF ASSOCIATION ""21 DECEMBER 1989"" AND OTHERS v. ROMANIA [Extracts]"
001-96369,001-96457,AFFAIRE GARDEL c. FRANCE,CASE OF GARDEL v. FRANCE
001-118597,001-119075,AFFAIRE M.K. c. FRANCE,CASE OF M.K. v. FRANCE
001-65796,001-22694,AFFAIRE PERRY c. ROYAUME-UNI |Extraits],PERRY v. THE UNITED KINGDOM
001-100344,001-100293,AFFAIRE UZUN c. ALLEMAGNE,CASE OF UZUN v. GERMANY
001-65455,001-60898,AFFAIRE PECK c. ROYAUME-UNI,CASE OF PECK v. THE UNITED KINGDOM
001-189472,NaN,MEHMEDOVIC c. SUISSE,NaN
001-174441,001-216999,AFFAIRE AYCAGUER c. FRANCE,CASE OF AYCAGUER AGAINST FRANCE
001-97085,001-184029,AFFAIRE SİNAN IŞIK c. TURQUIE,CASE OF SİNAN IŞIK AGAINST TURKEY
001-90404,001-78858,VAN DER VELDEN c. PAYS-BAS,VAN DER VELDEN v. THE NETHERLANDS
001-189724,001-177945,AFFAIRE MIFSUD c. MALTE,MIFSUD v. MALTA
001-95664,001-74186,McVEIGH ET AUTRES c. ROYAUME-UNI,"X., Y. and Z. v. THE UNITED KINGDOM"
001-103258,001-103259,AFFAIRE DIMITROV-KAZAKOV c. BULGARIE,CASE OF DIMITROV-KAZAKOV v. BULGARIA
001-65273,001-60713,AFFAIRE ALLAN c. ROYAUME-UNI,CASE OF ALLAN v. THE UNITED KINGDOM
001-69188,001-69189,AFFAIRE VETTER c. FRANCE,CASE OF VETTER v. FRANCE
001-71735,001-71789,AFFAIRE WISSE c. FRANCE,CASE OF WISSE v. FRANCE
001-62971,001-46044,AFFAIRE AMANN c. SUISSE,H.A. v. SWITZERLAND
001-24622,001-84765,CHAVE nee JULLIEN c. FRANCE,CHAVE nee JULLIEN v. FRANCE
001-77355,001-101026,AFFAIRE L.L. c. FRANCE,CASE OF L.L. AGAINST FRANCE
001-103906,001-103904,AFFAIRE KIYUTIN c. RUSSIE,CASE OF KIYUTIN v. RUSSIA
001-62031,001-57472,AFFAIRE DUDGEON c. ROYAUME-UNI,CASE OF DUDGEON v. THE UNITED KINGDOM (ARTICLE 50)
001-62738,001-2142,AFFAIRE M.S. c. SUÈDE,M.S. v. SWEDEN
001-146389,001-182504,AFFAIRE BRUNET c. FRANCE,CASE OF BRUNET AGAINST FRANCE
001-96361,001-96476,AFFAIRE B.B. c. FRANCE,CASE OF B.B. v. FRANCE
001-159377,001-159732,AFFAIRE G.S.B. c. SUISSE,CASE OF G.S.B. v. SWITZERLAND
