fre_id,eng_id,fre_docname,eng_docname
001-139769,001-139275,AFFAIRE VARTIC c. ROUMANIE (N° 2),CASE OF VARTIC v. ROMANIA (No. 2)
001-31912,001-59724,INDELICATO contre l'ITALIE,CASE OF INDELICATO v. ITALY
001-29537,001-69872,NATOLI contre l'ITALIE,CASE OF CALOGERO DIANA AGAINST ITALY AND SIX OTHER CASES
001-222892,001-223162,AFFAIRE C8 (CANAL 8) c. FRANCE,CASE OF C8 (CANAL 8) v. FRANCE
001-219051,001-231852,AFFAIRE ETE c. TÜRKİYE,CASE OF GÜLER AND UĞUR AGAINST TÜRKİYE AND 10 OTHER CASES
001-219707,001-220275,AFFAIRE BOUTON c. FRANCE,CASE OF BOUTON v. FRANCE
001-210417,001-210705,AFFAIRE MELİKE c. TURQUIE,CASE OF MELİKE v. TURKEY
001-216677,001-194932,"WIKIMEDIA FOUNDATION, INC. c. TURQUIE","WIKIMEDIA FOUNDATION, INC. v. TURKEY"
001-177090,NaN,DIMITRAS ET AUTRES c. GRÈCE,NaN
001-209674,001-210055,AFFAIRE AKDENİZ ET AUTRES c. TURQUIE,CASE OF AKDENİZ AND OTHERS v. TURKEY
001-207646,001-226618,AFFAIRE DICKINSON c. TURQUIE,CASE OF DICKINSON v. TURKEY
001-210416,001-210703,AFFAIRE ÖMÜR ÇAĞDAŞ ERSOY c. TURQUIE,CASE OF ÖMÜR ÇAĞDAŞ ERSOY v. TURKEY
001-72147,001-191725,AFFAIRE YAŞAR KAPLAN c. TURQUIE,CASE OF YAŞAR KAPLAN AGAINST TURKEY
001-44967,001-70302,GUNES contre la TURQUIE,CASE OF ASLI GÜNEŞ v. TURKEY
001-209433,001-209831,AFFAIRE TŐKÉS c. ROUMANIE,CASE OF TŐKÉS v. ROMANIA
001-175705,NaN,METİS YAYINCILIK LİMİTED ŞİRKETİ ET SÖKMEN c. TURQUIE,NaN
001-71837,001-105977,AFFAIRE PATUREL c. FRANCE,CASE OF PATUREL AND 10 OTHER CASES AGAINST FRANCE
001-209675,001-218364,AFFAIRE KERESTECIOĞLU DEMIR c. TURQUIE,CASE OF KERESTECIOĞLU DEMIR AGAINST TÜRKİYE
001-189753,001-189639,AFFAIRE CANGI c. TURQUIE,CASE OF CANGI v. TURKEY
001-201899,001-220115,AFFAIRE TÊTE c. FRANCE,CASE OF TÊTE AGAINST FRANCE
001-150639,001-159354,AFFAIRE PINTO PINHEIRO MARQUES c. PORTUGAL,CASE OF PINTO PINHEIRO MARQUES AGAINST PORTUGAL
